Time,Speed,Location,County,State,LAT,LON,Remarks,Lat,Lon,,
1200,UNK,ASHLAND,CLAY,AL,3328,8584,NUMEROUS TREES AND POWERLINES DOWN IN AND AROUND ASHLAND. TREE ON HOUSE IN THE SHIREYS MILL COMMUNITY IN ASHLAND. (BMX),33.28,-85.84,,
1200,UNK,LANGSTON,JACKSON,AL,3454,8607,LARGE TREES DOWN ON VEHICLES. TIME ESTIMATED FROM RADAR. POSSIBLE TORNADO. (HUN),34.54,-86.07,,
1202,UNK,3 NNW CENTRE,CHEROKEE,AL,3419,8569,TREES DOWN IN TEH TATES CHAPEL COMMUNITY. (BMX),34.19,-85.69,,
1203,UNK,8 NW PEYTONSBURG,CUMBERLAND,KY,3672,8549,TWO BARNS DOWN. NUMEROUS TREES AND POWERLINES DOWN. TWO TREES DOWN ON HOUSES. NUMEROUS SHEDS DAMAGED. ALL ALONG JUDIO ROAD NEAR THE TOWN OF JUDIO. (LMK),36.72,-85.49,,
1205,UNK,CENTRE,CHEROKEE,AL,3415,8567,A LARGE TREE FELL ON A HOME ALONG HIGHWAY 411 NORTH. ONE PERSON WAS TRAPPED. NUMEROUS TREES DOWN AROUND THE AREA. (BMX),34.15,-85.67,,
1205,UNK,CENTRE,CHEROKEE,AL,3415,8567,A LARGE TREE FELL ON A HOME ALONG HIGHWAY 411 NORTH. ON PERSON WAS TRAPPED. (BMX),34.15,-85.67,,
1205,UNK,ELLISVILLE,CHEROKEE,AL,3406,8561,TREES DOWN BLOCKING HWY 9. (BMX),34.06,-85.61,,
1205,UNK,SECTION,JACKSON,AL,3458,8599,NUMEROUS TREES DOWN BETWEEN SECTION AND MACEDONIA ALONG HIGHWAY 35. TIME ESTIMATED FROM RADAR. (HUN),34.58,-85.99,,
1205,UNK,3 NE HOKES BLUFF,ETOWAH,AL,3403,8583,SOME STRUCTURE DAMAGE REPORTED IN BALLPLAY. ONE PERSON TRAPPED. (BMX),34.03,-85.83,,
1206,UNK,5 ESE CENTRE,CHEROKEE,AL,3411,8559,SIGNIFICANT STRUCTURAL DAMAGE TO NEW BETHEL CHURCH ON HWY 411N. (BMX),34.11,-85.59,,
1208,UNK,5 NE LIVINGSTON,OVERTON,TN,3644,8526,MULTIPLE TREES BLOWN DOWN ON HWY 85. (OHX),36.44,-85.26,,
1215,UNK,8 NE MANCHESTER,COFFEE,TN,3555,8598,TREES BLOWN DOWN ALONG ROCK ROAD AND NEW HOPE ROAD OFF OF HIGHWAY 55 IN SUMMITVILLE AREA. (OHX),35.55,-85.98,,
1217,UNK,CAVE SPRING,FLOYD,GA,3411,8534,FLOYD COUNTY EMA RELAYED A REPORT OF WIDESPREAD TREE DAMAGE NEAR CAVE SPRING IN FLOYD COUNTY. (FFC),34.11,-85.34,,
1223,UNK,ALBANY,CLINTON,KY,3669,8514,A FEW TREES DOWN (LMK),36.69,-85.14,,
1227,UNK,BUCHANAN,HARALSON,GA,3380,8519,HARALSON COUNTY 911 RELAYED A REPORT OF TREES DOWN COUNTYWIDE. (FFC),33.8,-85.19,,
1227,UNK,CEDARTOWN,POLK,GA,3401,8525,POLK COUNTY 911 RELAYED A REPORT OF WIDESPREAD TREE DAMAGE ACROSS THE COUNTY. (FFC),34.01,-85.25,,
1227,UNK,1 W ROME,FLOYD,GA,3426,8520,*** 4 INJ *** FLOYD COUNTY EMERGENCY MANAGER REPORTED OVER 300 DOWNED TREES,34.26,-85.2,15000 HOMES WITHOUT POWER,AND 32 CLOSED ROADS. S (FFC)
1227,UNK,1 W ROME,FLOYD,GA,3426,8520,FLOYD COUNTY EMA RELAYED A REPORT OF TREES DOWN ON THE WEST SIDE OF ROME. (FFC),34.26,-85.2,,
1227,UNK,1 W ROME,FLOYD,GA,3426,8520,FLOYD COUNTY EMA RELAYED A REPORT OF TREES DOWN ON THE WEST SIDE OF ROME. TREE DAMAGE WAS ALSO REPORTED AT BERRY COLLEGE...AND THE GRAND WOODS SUBDIVISION. (FFC),34.26,-85.2,,
1230,UNK,FRANKLIN,WILLIAMSON,TN,3593,8684,*** 1 FATAL *** WOMAN WAS STRUCK IN THE HEAD BY A FALLEN TREE LIMB AND DIED 24 HOURS LATER (OHX),35.93,-86.84,,
1230,UNK,TALLAPOOSA,HARALSON,GA,3374,8529,THE PUBLIC RELAYED A REPORT OF A TREE ON A HOUSE AND CAR IN TALLAPOOSA. (FFC),33.74,-85.29,,
1231,UNK,VERSAILLES,WOODFORD,KY,3805,8473,ONE POWERLINE ACROSS MIDWAY PIKE. (LMK),38.05,-84.73,,
1232,UNK,4 NE MANCHESTER,COFFEE,TN,3551,8603,TREES DOWN ON POWER LINES NEAR 1674 ROCKS ROAD IN SUMMITVILLE. (OHX),35.51,-86.03,,
1235,UNK,3 S CRITTENDEN,GRANT,KY,3873,8460,ONE TREE DOWN ON A POWER LINE ON DIXIE HWY. TIME ESTIMATED. (ILN),38.73,-84.6,,
1236,UNK,TRENTON,DADE,GA,3487,8551,DADE COUNTY EMA RELAYED A REPORT OF WIDESPREAD TREE DAMAGE IN DADE COUNTY (FFC),34.87,-85.51,,
1240,UNK,PARNELL,WAYNE,KY,3687,8495,TREES DOWN ON HIGHWAY 674. (JKL),36.87,-84.95,,
1240,UNK,4 W PARNELL,WAYNE,KY,3687,8502,TREES DOWN ON HIGHWAY 674. (JKL),36.87,-85.02,,
1241,UNK,DUNNVILLE,CASEY,KY,3720,8500,ONE TREE DOWN (LMK),37.2,-85,,
1241,UNK,SUTTLES MILL,WALKER,GA,3462,8518,WALKER COUNTY 911 RELAYED A REPORT OF SEVERAL TREES DOWN IN SHUTTLES MILL. (FFC),34.62,-85.18,,
1241,UNK,1 NW TRENTON,DADE,GA,3488,8552,DADE COUNTY EMA RELAYED A REPORT OF POSSIBLE TORNADO DAMAGE IN TRENTON. DADE ELEMENTARY SCHOOL HAD PART OF ITS ROOF LIFTED UP. (FFC),34.88,-85.52,,
1245,UNK,PIKEVILLE,BLEDSOE,TN,3561,8520,COUPLE TREES DOWN ON HIGHWAY 127 REPORTED BY DISPATH. (MRX),35.61,-85.2,,
1245,UNK,1 N CROSSVILLE,CUMBERLAND,TN,3597,8504,SEVERAL TREES DOWN ON HIGHWAY 127 (OHX),35.97,-85.04,,
1245,UNK,2 S MONTICELLO,WAYNE,KY,3681,8485,TREES DOWN ON HOLLOW ROAD. (JKL),36.81,-84.85,,
1247,UNK,3 SE MONTICELLO,WAYNE,KY,3681,8481,TREE DOWN ON HIGHWAY 200 AT FLAT SPRINGS. (JKL),36.81,-84.81,,
1247,UNK,7 N MONTICELLO,WAYNE,KY,3694,8485,TREE DOWN ON HOUSE ON HIGHWAY 2393. (JKL),36.94,-84.85,,
1248,65,WILLIAMSTOWN,GRANT,KY,3864,8456,(ILN),38.64,-84.56,,
1248,UNK,LAKEVIEW,CATOOSA,GA,3498,8526,CATOOSA COUNTY 911 RELAYED A REPORT OF NUMEROUS TREES DOWN IN LAKEVIEW. A TREE WAS REPORTED ON A HOUSE IN THAT AREA. (FFC),34.98,-85.26,,
1250,UNK,21 SSW JAMESTOWN,FENTRESS,TN,3615,8508,SEVERAL TREES SNAPPED OFF OR UPROOTED AND TWISTED,36.15,-85.08,ABOUT 3/4 MILE EAST OF THE PUTNAM COUNTY LINE (OHX),
1259,UNK,CALHOUN,GORDON,GA,3450,8495,ROOF OFF A BUILDING IN DOWNTOWN CALHOUN. (FFC),34.5,-84.95,,
1259,UNK,DALTON,WHITFIELD,GA,3477,8497,WHITFIELD 911 RELAYED A REPORT OF TWO TREES DOWN. (FFC),34.77,-84.97,,
1259,UNK,2 NW DALTON,WHITFIELD,GA,3479,8500,WHITFIELD COUNTY EMA RELAYED A REPORT OF SEVERAL TREES DOWN NW OF DALTON. (FFC),34.79,-85,,
1300,UNK,FALMOUTH,PENDLETON,KY,3867,8433,ONE TREE DOWN ON SHELBY ST. TIME ESTIMATED. (ILN),38.67,-84.33,,
1300,UNK,RESACA,GORDON,GA,3458,8494,PUBLIC RELAYED A REPORT OF TWO TREES DOWN. (FFC),34.58,-84.94,,
1300,UNK,3 N COLD SPRING,CAMPBELL,KY,3906,8445,ONE TREE DOWN AT RIVER RD AND ARMY RESERVE RD. TIME ESTIMATED. (ILN),39.06,-84.45,,
1302,UNK,4 NNE FALMOUTH,PENDLETON,KY,3873,8432,ONE TREE DOWN ON SR 609. TIME ESTIMATED. (ILN),38.73,-84.32,,
1304,UNK,STANFORD,LINCOLN,KY,3753,8466,COUNTY-WIDE TREES DOWN. ROOF BLOWN OFF OF A TRAILER. (LMK),37.53,-84.66,,
1306,UNK,SCIENCE HILL,PULASKI,KY,3718,8464,TREE DOWN ALONG HIGHWAY 1247. (JKL),37.18,-84.64,,
1308,UNK,CHATSWORTH,MURRAY,GA,3477,8477,MURRAY COUNTY 911 RELAYED A REPORT OF WIDESPREAD TREE DAMAGE AND POWER LINES DOWN COUNTY WIDE. (FFC),34.77,-84.77,,
1308,UNK,2 E ALLARDT,FENTRESS,TN,3638,8485,MULTIPLE TREES BLOWN DOWN...ONE ON A HOUSE TRAPPING A WOMAN INSIDE. ONE QUARTER OF PEOPLE IN EASTERN FENTRESS COUNTY ARE STILL WITHOUT POWER. (OHX),36.38,-84.85,,
1313,UNK,BEULAH HEIGHTS,MCCREARY,KY,3680,8444,TREE DOWN ACROSS BEULAH HEIGHTS ROAD. TIME ESTIMATED OFF OF RADAR. (JKL),36.8,-84.44,,
1313,UNK,7 SE LEXINGTON,FAYETTE,KY,3797,8437,ROAD SIGN DAMAGED NEAR EXIT 104 ON I-75 AND PENNY SIZED HAIL. (LMK),37.97,-84.37,,
1320,UNK,7 S CRAB ORCHARD,LINCOLN,KY,3736,8451,MULTIPLE MOBILE HOMES DAMAGED AND TREES DOWN WITH POWER LINES DOWN. (LMK),37.36,-84.51,,
1326,UNK,4 NNE WILLIAMSBURG,CLERMONT,OH,3910,8402,TWO TREES FELL ON POWER LINES ON BURDSALL RD. TIME ESTIMATED. (ILN),39.1,-84.02,,
1326,UNK,9 W WHITLEY CITY,MCCREARY,KY,3672,8464,TREE DOWN ON HIGHWAY 92 BETWEEN MILE MARKER 9 AND 10. (JKL),36.72,-84.64,,
1330,UNK,2 NW BRODHEAD,ROCKCASTLE,KY,3742,8444,TREE BLOCKING ROAD AND KNOCKING DOWN POWER LINES ON PEACH TREE LANE NEAR BRODHEAD (JKL),37.42,-84.44,,
1334,UNK,3 S PINE KNOT,MCCREARY,KY,3662,8444,ROOF BLOWN OFF BARN. BOARD PUT THROUGH THE WINDOW OF A TRUCK. TOP SNAPPED OUT OF A 20 INCH DIAMETER TREE. (JKL),36.62,-84.44,,
1334,UNK,7 NNE MOUNT VERNON,ROCKCASTLE,KY,3746,8430,TREE BLOCKING ROAD ON SCAFFOLD CANE BRANCH RD. (JKL),37.46,-84.3,,
1335,UNK,CLEVELAND,BRADLEY,TN,3518,8487,NUMEROUS TREES AND POWER LINES DOWN IN CLEVELAND AND NORTHEAST PART OF THE COUNTY. (MRX),35.18,-84.87,,
1335,UNK,7 ENE CRAB ORCHARD,GARRARD,KY,3750,8439,TREES WERE DOWNED OR SNAPPED ALONG GABBARD ROAD. ONE WAS BLOWN ON TO A MOBILE HOME. (LMK),37.5,-84.39,,
1336,UNK,3 ENE PINE KNOT,MCCREARY,KY,3668,8439,DAMAGE TO A MOBILE HOME AND SOME 3 TO 4 INCH DIAMETER TREE LIMBS DOWN ON HIGHWAY 92. (JKL),36.68,-84.39,,
1338,UNK,4 S BLANCHESTER,BROWN,OH,3923,8398,TREE FELL INTO A HOUSE ON WOODVILLE RD. TIME ESTIMATED. (ILN),39.23,-83.98,,
1340,UNK,BEULAH HEIGHTS,MCCREARY,KY,3680,8444,TREE DOWN ACROSS BEULAH HEIGHTS ROAD. TIME ESTIMATED OFF OF RADAR. (JKL),36.8,-84.44,,
1343,UNK,FAYETTEVILLE,BROWN,OH,3919,8393,STORAGE SHED BLOWN OVER ON US 50. TIME ESTIMATED. (ILN),39.19,-83.93,,
1345,UNK,SANDGAP,JACKSON,KY,3748,8409,TREE BLOCKING ROAD. (JKL),37.48,-84.09,,
1345,UNK,1 NW FORD,CLARK,KY,3789,8426,TOBACCO BARN DAMAGE ALONG HIGHWAY 627 (LMK),37.89,-84.26,,
1350,UNK,1 E KNOB LICK,ESTILL,KY,3766,8409,TREE DOWN ON CAMPBELL BRANCH ROAD. (JKL),37.66,-84.09,,
1350,UNK,2 E CUMBERLAND FALLS S.,WHITLEY,KY,3684,8430,TREE DOWN OVER HIGHWAY 90 NEAR MILLS OLD RIDING STATION. (JKL),36.84,-84.3,,
1350,UNK,2 E CUMBERLAND FALLS S.,WHITLEY,KY,3684,8430,TREE DOWN OVER HIGHWY 90 NEAR MILLS OLD RIDING STATION. (JKL),36.84,-84.3,,
1352,UNK,NEW CARLISLE,CLARK,OH,3994,8403,AWNINGS AND DOOR RIPPED OFF BUILDING. (ILN),39.94,-84.03,,
1352,UNK,NEW CARLISLE,CLARK,OH,3994,8403,LOTS OF ROOFING AND SIDING DAMAGE WITH STRUCTURAL WOOD STREWN AROUND NEAR SR 235 AND LAKE AVE. (ILN),39.94,-84.03,,
1352,UNK,2 NNE NEW CARLISLE,CLARK,OH,3996,8401,NUMEROUS TREES AND POWER LINES DOWN NEAR SR 235 AND SIGLER RD. (ILN),39.96,-84.01,,
1352,UNK,4 NE HUBER HEIGHTS,MIAMI,OH,3990,8405,NUMEROUS TREES DOWN ON BELLEFONTAINE RD NEAR SR 235. (ILN),39.9,-84.05,,
1400,UNK,WALLAND,BLOUNT,TN,3573,8382,ONE TREE DOWN IN WALLAND AND ONE DOWN IN SEYMOUR. (MRX),35.73,-83.82,,
1400,UNK,WILLOW TREE,ESTILL,KY,3771,8392,TREES DOWN ON WATSON RIDGE ROAD...MARBLE YARD ROAD...CAMPBELL BRANCH ROAD AND COBB HILL ROAD. (JKL),37.71,-83.92,,
1410,UNK,3 NE MILLERSTOWN,CHAMPAIGN,OH,4019,8389,ONE TREE DOWN ON THE 500 BLOCK OF IDLE ROAD. (ILN),40.19,-83.89,,
1412,UNK,1 S LONDON,LAUREL,KY,3711,8408,TREES ON POWER LINES ALONG HIGHWAY 1006 AND 363. (JKL),37.11,-84.08,,
1416,UNK,2 NE LONDON,LAUREL,KY,3715,8406,TREES DOWN AND ROOF BLOWN OFF OF BARN ON MCWHORTER ROAD. (JKL),37.15,-84.06,,
1425,UNK,BELLEFONTAINE,LOGAN,OH,4036,8376,POWER POLE SNAPPED AND A TREE DOWN ON A HOUSE IN THE CITY OF BELLEFONTAINE. (ILN),40.36,-83.76,,
1425,UNK,MCKEE,JACKSON,KY,3743,8400,2 TREES BLOCKING ROAD. (JKL),37.43,-84,,
1430,UNK,MANTACHIE,ITAWAMBA,MS,3432,8849,2 FT DIAMETER TREES ALONG WITH SOME SMALLER TREES DOWN AT HWY 371 AND DONAVON RD (MEG),34.32,-88.49,,
1450,UNK,5 N TUPELO,LEE,MS,3434,8873,TREES DOWN (MEG),34.34,-88.73,,
1514,UNK,1 SSE DOWNTOWN COLUMBUS,FRANKLIN,OH,3994,8299,TREES AND POWER LINES DOWN IN GERMAN VILLAGE AREA (ILN),39.94,-82.99,,
1525,UNK,3 W TREMONT,ITAWAMBA,MS,3423,8830,4-6 INCH LIMBS ON COTTON GIN ROAD (MEG),34.23,-88.3,,
1525,UNK,9 N TREMONT,ITAWAMBA,MS,3436,8825,ROOF TORN OFF,34.36,-88.25,,
1543,UNK,S TUSCUMBIA,COLBERT,AL,3473,8771,TREES AND POWERLINES DOWN ON FRANKFORT RD (HUN),34.73,-87.71,,
1545,UNK,2 S SHEFFIELD,COLBERT,AL,3474,8770,WINDS WERE BLOWING FLAG POLES NEAR THE GROUND AND BRANCHESE DOWN. WINDS WERE ESTIMATED OVER 60 MPH. (HUN),34.74,-87.7,,
1547,60,MUSCLE SHOALS,COLBERT,AL,3474,8767,A WIND GUST TO 60 MPH WAS OBSERVED AT THE MSL ASOS. (HUN),34.74,-87.67,,
1547,UNK,1 W RUSSELLVILLE,FRANKLIN,AL,3451,8775,TREE ON HOUSE ON WATERLOO ROAD (HUN),34.51,-87.75,,
1548,UNK,5 SSE FLORENCE,COLBERT,AL,3474,8764,AN OUTBUILDING WAS DESTROYED. (HUN),34.74,-87.64,,
1553,UNK,6 E RUSSELLVILLE,FRANKLIN,AL,3451,8762,NICKEL SIZE HAIL WAS REPORTED. (HUN),34.51,-87.62,,
1608,UNK,4 SW LEWISBURG,MARSHALL,TN,3541,8684,NEW LAKE ROAD NEAR JORGENSEN LANE...70 MPH WINDS...QUARTER-SIZE HAIL...3 TREES LIFTED OUT OF THE GROUND (OHX),35.41,-86.84,,
1610,UNK,1 WNW ROGERSVILLE,LAUDERDALE,AL,3483,8732,A LARGE TREE WAS BLOWN DOWN OVER HIGHWAY 72 AT THE ENTRANCE OF JOE WHEELER STATE PARK. WIND GUST TO 69 MPH WAS MEASURED. (HUN),34.83,-87.32,,
1611,UNK,LEIGHTON,COLBERT,AL,3470,8753,BIG TREES UPROOTED ON OAK STREET IN LEIGHTON (HUN),34.7,-87.53,,
1614,62,COURTLAND,LAWRENCE,AL,3467,8731,GUST WAS MEASURED AT THE COURTLAND AWOS AT 53 KNOTS (HUN),34.67,-87.31,,
1618,UNK,1 S RIPLEY,LIMESTONE,AL,3475,8712,TREES AND POWER LINES DOWN ON HIGHWAY 101...HIGHWAY 33...AND BATTS ROAD (HUN),34.75,-87.12,,
1625,UNK,HATTON,LAWRENCE,AL,3456,8741,TREES DOWN ON HIGHWAY 101 (HUN),34.56,-87.41,,
1626,UNK,DERMOTT,CHICOT,AR,3353,9144,NUMEROUS TREES AND POWERLINES DOWN ACROSS TOWN. HIGHWAY 35 WEST CLOSED OFF DUE TO TREES AND POWERLINES BLOCKING TRAFFIC. (JAN),33.53,-91.44,,
1629,UNK,NW CAPSHAW,LIMESTONE,AL,3477,8679,LARGE TREES WERE BLOWN DOWN. SOME WERE SNAPPED. (HUN),34.77,-86.79,,
1640,UNK,HUNTSVILLE,MADISON,AL,3473,8659,POWERLINES DOWN NEAR RAINBOW AND NEIL ROAD. (HUN),34.73,-86.59,,
1640,UNK,2 WNW CAPSHAW,LIMESTONE,AL,3478,8683,LARGE TREES BLOWN DOWN. (HUN),34.78,-86.83,,
1640,UNK,6 S SOMERVILLE,MORGAN,AL,3439,8680,A TREE WAS REPORTED DOWN ON A HOUSE. (HUN),34.39,-86.8,,
1643,UNK,RIPLEY,LIMESTONE,AL,3476,8712,BARN RIPPED OFF NEAR THE LIMESTONE COUNTY JAIL...AND NUMEROUS TREES REPORTED DOWN ON SANDERSON ROAD AND CAPSHAW (HUN),34.76,-87.12,,
1649,59,HUNTSVILLE,MADISON,AL,3473,8659,A WIND GUST OF 59 MPH WAS OBSERVED. (HUN),34.73,-86.59,,
1653,UNK,HUNTSVILLE,MADISON,AL,3473,8659,A TREE WAS BLOWN DOWN ON A HOUSE. POSSIBLE TORNADO DAMAGE. (HUN),34.73,-86.59,,
1658,UNK,HUNTSVILLE,MADISON,AL,3473,8659,TREES AND POWER LINES DOWN NEAR MOUNT SHARON AND HIGHWAY 231. (HUN),34.73,-86.59,,
1658,UNK,HUNTSVILLE,MADISON,AL,3473,8659,TREES BLOWN ON SLAUGHTER AND EASTVIEW ROAD. (HUN),34.73,-86.59,,
1703,UNK,2 W CAPSHAW,LIMESTONE,AL,3478,8683,A LARGE TREE WAS BLOWN DOWN ON A MOBILE HOME. (HUN),34.78,-86.83,,
1703,UNK,5 NE MOORES MILL,MADISON,AL,3489,8645,DAMAGE REPORTED AROUND BUCKHORN HIGH SCHOOL. POSSIBLE TORNADO DAMAGE. (HUN),34.89,-86.45,,
1710,UNK,HILLSBOROUGH,ORANGE,NC,3607,7910,TREES AND POWER LINES DOWN ON ST. MARYS STREET. (RAH),36.07,-79.1,,
1715,UNK,WINCHESTER,FRANKLIN,TN,3519,8611,WALL CLOUD REPORTED. (HUN),35.19,-86.11,,
